Time,Eigenvalue,Probability
0,-6.216716,0.028773803054003233
0,-6.160795,0.020292042080180872
0,-6.148378,0.2822589883580804
0,-5.992505,0.17093979575053542
0,-5.9378595,0.12408641018009181
0,-5.7889104,0.0634646998154409
0,-5.674522,1.2585206503083846e-12
0,-5.674522,2.258565426835225e-13
0,-5.6618905,0.03591401854423837
0,-5.5429564,0.004210097760138309
0,-5.539723,9.169806292660931e-15
0,-5.539723,2.0837946099945283e-13
0,-5.504187,8.922577835518925e-13
0,-5.504187,4.621736199214692e-14
0,-5.4748445,2.2119807172804307e-13
0,-5.4748445,1.8681282729714448e-14
0,-5.3762794,2.619415198338593e-13
0,-5.3762794,1.733807103481985e-13
0,-5.3309774,7.960362526489354e-14
0,-5.3309774,5.116130379617669e-14
0,-5.308079,6.669193080953127e-14
0,-5.308079,1.4549393787543647e-14
0,-5.195145,1.840301088142464e-13
0,-5.195145,5.2899750542995164e-14
0,-5.0472903,5.490617481508121e-06
0,-5.013544,1.112360120897851e-12
0,-5.004697,2.4266725729078026e-13
0,-4.9746594,3.267664257361849e-13
0,-4.921343,3.935773647107852e-06
0,-4.910042,1.8481937397819847e-12
0,-4.897293,8.44123824454094e-06
0,-4.8678894,5.418358914922621e-14
0,-4.8678894,4.383893313796395e-14
0,-4.8528504,1.4240426657511934e-13
0,-4.8528504,6.510511163216386e-14
0,-4.836178,1.640963816758908e-13
0,-4.8056245,3.272079039177416e-13
0,-4.791374,4.2139908710977843e-14
0,-4.7863674,1.442819317237277e-05
0,-4.783911,1.123981701580207e-13
0,-4.7811522,4.803682184631248e-07
0,-4.7787614,1.0511971102966644e-05
0,-4.724098,1.5760802036496646e-12
0,-4.669076,1.0584534900806054e-05
0,-4.6544394,5.9295342009734126e-05
0,-4.650885,8.962472023731585e-14
0,-4.650885,1.5655991058240656e-13
0,-4.609754,3.2969542034747695e-05
0,-4.594752,2.805567395934073e-05
0,-4.5827146,7.135058188734612e-14
0,-4.555691,1.67583613523098e-05
0,-4.533889,1.0297148362106007e-13
0,-4.533889,2.4961713447969687e-13
0,-4.530792,1.5353826716276667e-06
0,-4.521237,2.835704725089505e-13
0,-4.5153294,3.199211375741842e-05
0,-4.5039186,9.739071568581773e-06
0,-4.4349556,2.6360225991030697e-06
0,-4.4328604,4.854462720001141e-06
0,-4.4303665,8.011682181393168e-13
0,-4.4281645,6.15664200721689e-14
0,-4.4281645,2.9829707163359784e-14
0,-4.4008646,9.45247125859579e-14
0,-4.4008646,6.305806381481815e-14
0,-4.381002,5.11348132659382e-06
0,-4.366984,4.637579266923902e-13
0,-4.366984,2.380533118500098e-13
0,-4.335713,7.823688025068817e-15
0,-4.335713,3.645805539083625e-13
0,-4.2441673,3.695687876610469e-05
0,-4.2391114,1.949968616876449e-13
0,-4.2391114,1.8225873050394725e-14
0,-4.223942,2.3080794277522418e-05
0,-4.1966004,1.6534956975819529e-13
0,-4.1688814,2.0633394702766284e-05
0,-4.164605,1.507076641609586e-13
0,-4.164605,2.0354117698290504e-14
0,-4.1285667,1.0862844031531368e-13
0,-4.1285667,2.7828562000698224e-14
0,-4.1272197,2.9912656064809225e-13
0,-4.1272197,4.50610969237313e-14
0,-4.122037,4.1923119003617564e-14
0,-4.122037,3.096204126667434e-13
0,-4.1213994,1.1214813586504308e-12
0,-4.0874715,3.983647800085235e-05
0,-4.0604324,5.2363135149246544e-05
0,-4.05991,0.0001878599902269901
0,-4.0356894,4.308673090699694e-13
0,-4.034441,1.1832765055936657e-13
0,-4.034441,2.7713941300585874e-14
0,-4.0270405,3.698071841686163e-05
0,-4.0173798,1.0811636878362062e-05
0,-4.010204,1.7944782951775835e-14
0,-4.010204,2.0809288361359754e-13
0,-3.9503806,1.8679684941451988e-13
0,-3.9019802,6.573086403284523e-05
0,-3.8972034,2.282150865622676e-14
0,-3.8972034,2.948766688835226e-14
0,-3.886727,3.727417900493732e-13
0,-3.8664227,2.033694220212247e-13
0,-3.8664227,6.532711066959797e-15
0,-3.8471816,2.997949132438073e-13
0,-3.843285,4.7998882830141715e-14
0,-3.843285,4.099426187235604e-13
0,-3.8423498,6.597022598953117e-05
0,-3.8346033,9.109520733766793e-15
0,-3.8346033,9.878253999241591e-14
0,-3.8103778,7.626676001480793e-14
0,-3.8103778,2.5788807483171956e-14
0,-3.800477,7.94320087129036e-05
0,-3.7922134,5.724864858568967e-13
0,-3.7772992,0.00022814101419591035
0,-3.7595646,1.8429216092014653e-05
0,-3.7261786,2.7780287487544503e-13
0,-3.7261786,7.716336237839513e-15
0,-3.7226796,1.741315933471494e-13
0,-3.7226796,1.375261095751357e-13
0,-3.7182555,2.6131423250383293e-05
0,-3.6955154,8.710971429930962e-13
0,-3.6947901,7.852834166685932e-05
0,-3.6851473,1.5149967987033173e-13
0,-3.6668496,4.6303989661882165e-14
0,-3.6668496,4.249682872481556e-14
0,-3.6518831,1.2783512807204257e-13
0,-3.6416934,4.371254255969283e-13
0,-3.6310952,1.99149715387857e-13
0,-3.6252677,1.5290492308314176e-05
0,-3.6082785,2.0120390772631708e-13
0,-3.6082785,1.0350024136174302e-14
0,-3.5723264,7.503017022879641e-14
0,-3.5723264,1.2991777061859216e-13
0,-3.5578122,7.771313429640044e-14
0,-3.5578122,1.151013381235352e-13
0,-3.5420957,5.6839973942334485e-05
0,-3.5350602,4.3131261980794986e-05
0,-3.5068147,6.425063519472154e-05
0,-3.4930542,1.0198358335333307e-13
0,-3.4897885,8.015871393689067e-14
0,-3.478216,1.9865502446388704e-14
0,-3.478216,7.747220428246845e-14
0,-3.4495099,2.363935419071126e-05
0,-3.43932,0.00015379819021345276
0,-3.421556,3.276044114632073e-06
0,-3.414649,1.593915855772218e-13
0,-3.3962002,5.647744636623508e-05
0,-3.3782146,2.756692333733748e-15
0,-3.3782146,4.902328390160319e-14
0,-3.373955,2.392339793906701e-13
0,-3.3473895,0.00012877359060881055
0,-3.3368802,9.838811014156821e-05
0,-3.3300927,1.1952607658078924e-12
0,-3.3274581,2.6582254523640098e-14
0,-3.325775,3.715118421514936e-13
0,-3.3179607,2.535212413531606e-14
0,-3.3179607,3.7688688854059103e-13
0,-3.3177633,2.969163708096543e-13
0,-3.3069007,6.311393096455904e-14
0,-3.3069007,3.6001712392712925e-14
0,-3.2911026,4.909667910836524e-05
0,-3.278444,0.2588176085471652
0,-3.2745008,6.643009714990821e-14
0,-3.2745008,1.818474804414532e-14
0,-3.235281,3.4550490020860834e-13
0,-3.2314332,1.8886318734901862e-15
0,-3.2314332,7.835039424449001e-14
0,-3.2295747,5.3640737821428515e-14
0,-3.2295747,1.1032167423862794e-13
0,-3.211758,4.1812257481107174e-14
0,-3.211758,2.2148103912496095e-13
0,-3.2044673,1.4038317419995607e-13
0,-3.2044673,9.804891186463981e-14
0,-3.1388342,5.85462850512565e-05
0,-3.110127,8.262132451077129e-05
0,-3.0997581,0.00016052937411671717
0,-3.093262,0.00013045146550517972
0,-3.0846794,9.203142619589917e-14
0,-3.0797489,7.807458729360006e-05
0,-3.0444388,1.4745149515192028e-15
0,-3.0441816,2.307543861019518e-13
0,-3.0441816,2.4855962083105544e-13
0,-3.0214946,1.3284447321804831e-06
0,-3.0185513,1.2394548238164902e-13
0,-3.0102735,1.1015933396142132e-05
0,-2.9949713,9.188179735967759e-15
0,-2.9949713,3.668441279507823e-14
0,-2.9666028,4.030673971836309e-14
0,-2.9599178,4.850437138132998e-05
0,-2.9446952,3.956653611859873e-05
0,-2.9233582,1.6736923714400122e-13
0,-2.9233582,1.0869666488667802e-13
0,-2.9230585,7.529567738161e-13
0,-2.9168673,1.0576661515354852e-05
0,-2.9167473,8.90796661793685e-14
0,-2.915642,8.369939630090487e-05
0,-2.8963778,8.020379869289648e-14
0,-2.8963778,5.981176932792502e-13
0,-2.893419,2.7091197540084013e-13
0,-2.8772285,1.277497213350119e-13
0,-2.8772285,7.767974443529257e-13
0,-2.8754714,1.453295914337171e-13
0,-2.8754714,3.970914556845333e-13
0,-2.8463395,2.1527918210946933e-13
0,-2.8354404,1.8560566968486847e-05
0,-2.828427,4.222915690987569e-13
0,-2.8100567,3.982881294498133e-14
0,-2.8100567,1.0809137595732765e-13
0,-2.8077292,2.596273608078767e-14
0,-2.7836027,2.9374891381937914e-13
0,-2.749851,8.761589671922725e-14
0,-2.746893,1.6279339372973134e-13
0,-2.746893,3.903127818953071e-14
0,-2.7349958,4.234942010352887e-13
0,-2.7349958,2.84720377827888e-13
0,-2.7342155,2.9483486218688815e-13
0,-2.7342155,3.850093332068775e-14
0,-2.725881,2.5770134854047897e-05
0,-2.707966,3.200326554878261e-13
0,-2.705273,1.782134378393277e-13
0,-2.674942,2.2571948736871275e-05
0,-2.6547341,2.087710611977636e-14
0,-2.6547341,1.6657928912023626e-13
0,-2.6299891,1.5746068685475955e-13
0,-2.6294076,1.4800804196413381e-05
0,-2.6291866,3.7187607209296985e-13
0,-2.6127343,7.89407522713904e-15
0,-2.6127343,8.049864735338193e-13
0,-2.6126192,8.717637464966959e-14
0,-2.6126192,3.797737324944238e-14
0,-2.5965993,2.6009252740047995e-13
0,-2.5965993,9.672817567894796e-15
0,-2.5701227,6.590660965494557e-05
0,-2.534378,1.459882780723581e-13
0,-2.528211,3.3960349746428055e-13
0,-2.528211,5.733524224111282e-14
0,-2.5152793,4.3930254694887364e-15
0,-2.5152793,7.438081884931519e-14
0,-2.5086539,2.2179522378220293e-14
0,-2.5086539,8.722298834314404e-14
0,-2.5070915,8.50387259389838e-06
0,-2.4920435,7.778343349720189e-06
0,-2.4628456,3.976133093620902e-13
0,-2.462766,4.094381222093782e-14
0,-2.4611268,1.1514918599022652e-05
0,-2.4561257,3.74925827603437e-14
0,-2.456088,4.890247041230858e-06
0,-2.4434235,5.679223571629132e-14
0,-2.4434235,1.2396333023722954e-14
0,-2.42573,4.822860260243389e-14
0,-2.42573,8.180093548279815e-14
0,-2.4209473,4.973870870221619e-13
0,-2.4199739,1.8707618377574315e-14
0,-2.4199739,2.0206600885812237e-13
0,-2.4174266,9.992306446192454e-05
0,-2.4053693,1.679212963961989e-14
0,-2.4053693,6.821277582375572e-14
0,-2.386972,1.0543958420615364e-13
0,-2.386972,1.1858570105197719e-13
0,-2.3838763,3.669184840021066e-13
0,-2.3795881,5.646433451920183e-06
0,-2.3646967,1.626841039101484e-13
0,-2.3646967,1.4267729326108638e-13
0,-2.3635643,1.5862972688295625e-13
0,-2.3504915,1.1170050743811567e-05
0,-2.348956,8.382083626381535e-14
0,-2.348956,3.267758284171364e-14
0,-2.3479452,1.0391241565147878e-12
0,-2.3359714,4.789954275577577e-05
0,-2.316604,1.1845084305490126e-06
0,-2.3131878,3.3616273588571586e-13
0,-2.3131878,1.6732572969996048e-13
0,-2.30929,1.9094469171779664e-13
0,-2.2986526,2.4604336428316023e-14
0,-2.2986526,1.043162548637739e-13
0,-2.2964044,2.24892831976383e-13
0,-2.2964044,1.1278631934598733e-13
0,-2.2815592,0.00012036395367011343
0,-2.2584455,5.2179718032760824e-14
0,-2.2584455,1.2608520053146352e-13
0,-2.254821,1.5642751268575084e-05
0,-2.253835,2.658686081387229e-14
0,-2.253835,6.659818992347431e-14
0,-2.2322102,7.133313682882498e-14
0,-2.228624,1.3005726218652937e-05
0,-2.2106645,1.7224103469618002e-05
0,-2.176722,8.59128354940928e-06
0,-2.1757855,1.7410448217448359e-13
0,-2.1757855,6.592586062978617e-15
0,-2.171891,5.659403510789219e-14
0,-2.171891,1.2290561566102327e-13
0,-2.1377087,5.2213441760457814e-05
0,-2.1369085,4.346669515090776e-13
0,-2.1196458,0.00017677528758362846
0,-2.1091297,5.925205643513877e-06
0,-2.1085937,5.3669000651686795e-14
0,-2.1085937,1.0662111668186252e-13
0,-2.1046493,2.377723668381751e-05
0,-2.1033287,1.1692224069770289e-13
0,-2.1033287,4.389234056543529e-14
0,-2.1000376,1.0522226236837279e-13
0,-2.1000376,5.671712275016129e-13
0,-2.0865657,1.3744909365693094e-13
0,-2.0865657,7.870441644511816e-15
0,-2.0802093,0.0001306030035437217
0,-2.0724254,3.452310981725023e-14
0,-2.0724254,3.8166929597252417e-14
0,-2.04804,3.736462482166834e-13
0,-2.04804,9.107441385103318e-14
0,-2.0332544,1.7677699436343527e-14
0,-2.0332544,2.0321966784849594e-13
0,-2.0249932,3.1153293094457685e-05
0,-2.0180416,2.2410285764373315e-13
0,-2.016286,1.3472561146040448e-12
0,-2.0114074,9.567169172935519e-06
0,-2.0089943,1.8233872398743892e-15
0,-2.0089943,5.980358615552369e-15
0,-2.0000696,5.160870887917883e-13
0,-1.9976765,6.573021206758649e-13
0,-1.9943877,1.5926931055367834e-13
0,-1.9943877,1.3694602890677995e-13
0,-1.9793558,1.2740675659959135e-13
0,-1.9773467,1.4104031912708001e-12
0,-1.9703436,2.383969336189687e-05
0,-1.9614584,9.102710784982023e-14
0,-1.9614584,1.468243844513068e-14
0,-1.960475,8.533648220029758e-06
0,-1.9588611,2.1279397058628766e-13
0,-1.9553752,5.180821891461688e-05
0,-1.9549359,2.0967425977671964e-05
0,-1.9417312,1.5575692717795898e-06
0,-1.9392402,1.6958189923414963e-05
0,-1.927251,3.387054020654733e-14
0,-1.9136311,9.834559286013241e-07
0,-1.901383,3.227013209594002e-13
0,-1.8999249,4.922573961738683e-06
0,-1.8948854,1.229951882836624e-05
0,-1.8857101,1.452365291610227e-05
0,-1.8775297,3.519406707762629e-14
0,-1.8775297,2.2642155215571613e-13
0,-1.8692656,8.828388658878326e-13
0,-1.8521353,6.882731345891466e-14
0,-1.8207874,1.7712788030188286e-13
0,-1.8178428,4.85737466581189e-05
0,-1.8108855,7.514129016166118e-14
0,-1.7932674,5.837084432694976e-14
0,-1.7932674,1.1346501708168381e-13
